id;name;team_name;team_id;position;goals;season;comp_id
/players/GetHistoryStats?player_id=525;Frank Lampard;Manchester City;14;Midfielder;6;2014;481
/players/GetHistoryStats?player_id=29785;Jordan Henderson;Liverpool;4;Midfielder;6;2014;481
/players/GetHistoryStats?player_id=32264;Ander Herrera;Manchester United;3;Midfielder;6;2014;481
/players/GetHistoryStats?player_id=37009; Oscar;Chelsea;8;Midfielder;6;2014;481
/players/GetHistoryStats?player_id=20890;Jason Puncheon;Crystal Palace;35;Forward;6;2014;481
/players/GetHistoryStats?player_id=16027;Dwight Gayle;Crystal Palace;35;Forward;5;2014;481
/players/GetHistoryStats?player_id=31536;Dame N'Doye;Hull City;752;Forward;5;2014;481
/players/GetHistoryStats?player_id=31457;Mile Jedinak;Crystal Palace;35;Midfielder;5;2014;481
/players/GetHistoryStats?player_id=19617;Dave Nugent;Leicester City;13;Forward;5;2014;481
/players/GetHistoryStats?player_id=19775;Steven Fletcher;Sunderland;23;Forward;5;2014;481
/players/GetHistoryStats?player_id=21420;George Boyd;Burnley;54;Midfielder;5;2014;481
/players/GetHistoryStats?player_id=40373;Jamie Vardy;Leicester City;13;Forward;5;2014;481
/players/GetHistoryStats?player_id=6880;Esteban Cambiasso;Leicester City;13;Midfielder;5;2014;481
/players/GetHistoryStats?player_id=30345;Connor Wickham;Sunderland;23;Forward;5;2014;481
/players/GetHistoryStats?player_id=19027;Andy Carroll;West Ham United;21;Forward;5;2014;481
/players/GetHistoryStats?player_id=19388;Adam Lallana;Liverpool;4;Midfielder;5;2014;481
/players/GetHistoryStats?player_id=17813;James Milner;Manchester City;14;Midfielder;5;2014;481
/players/GetHistoryStats?player_id=27717;Stevan Jovetic;Manchester City;14;Forward;5;2014;481
/players/GetHistoryStats?player_id=18662;Theo Walcott;Arsenal;5;Midfielder;5;2014;481
/players/GetHistoryStats?player_id=118;John Terry;Chelsea;8;Defender;5;2014;481
/players/GetHistoryStats?player_id=23891;Ashley Barnes;Burnley;54;Forward;5;2014;481
/players/GetHistoryStats?player_id=18782;Shane Long;Southampton;18;Forward;5;2014;481
/players/GetHistoryStats?player_id=36179;Philippe Coutinho;Liverpool;4;Midfielder;5;2014;481
/players/GetHistoryStats?player_id=37990;Enner Valencia;West Ham United;21;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=31685;Mohamed Diame;Hull City;752;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=26990;Danny Welbeck;Arsenal;5;Forward;4;2014;481
/players/GetHistoryStats?player_id=18479;Adam Johnson;Sunderland;23;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=20558;Fraizer Campbell;Crystal Palace;35;Forward;4;2014;481
/players/GetHistoryStats?player_id=21616;Bojan Krkic;Stoke City;187;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=20178;Mesut Ozil;Arsenal;5;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=30520;Abel Hernandez;Hull City;752;Forward;4;2014;481
/players/GetHistoryStats?player_id=33179;Brown Ideye;West Bromwich Albion;64;Forward;4;2014;481
/players/GetHistoryStats?player_id=19910;Morgan Schneiderlin;Southampton;18;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=28066;Yannick Bolasie;Crystal Palace;35;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=30465;Chris Smalling;Manchester United;3;Defender;4;2014;481
/players/GetHistoryStats?player_id=29989;Jordi Gomez;Sunderland;23;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=22189;Branislav Ivanovic;Chelsea;8;Defender;4;2014;481
/players/GetHistoryStats?player_id=33319;Wilfred Zaha;Crystal Palace;35;Forward;4;2014;481
/players/GetHistoryStats?player_id=20064;Moussa Sissoko;Newcastle United;16;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=20379;Edin Dzeko;Manchester City;14;Forward;4;2014;481
/players/GetHistoryStats?player_id=4720;Philip Jagielka;Everton;10;Defender;4;2014;481
/players/GetHistoryStats?player_id=19056;Daniel Sturridge;Liverpool;4;Forward;4;2014;481
/players/GetHistoryStats?player_id=15283;Didier Drogba;Chelsea;8;Forward;4;2014;481
/players/GetHistoryStats?player_id=41704;Dusan Tadic;Southampton;18;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=45786;Riyad Mahrez;Leicester City;13;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=545;Jermain Defoe;Sunderland;23;Forward;4;2014;481
/players/GetHistoryStats?player_id=30335;Jack Colback;Newcastle United;16;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=23664;Radamel Falcao;Manchester United;3;Forward;4;2014;481
/players/GetHistoryStats?player_id=33234;Cheikhou Kouyate;West Ham United;21;Midfielder;4;2014;481
/players/GetHistoryStats?player_id=31210;Laurent Koscielny;Arsenal;5;Defender;3;2014;481
/players/GetHistoryStats?player_id=32189;Seamus Coleman;Everton;10;Defender;3;2014;481
/players/GetHistoryStats?player_id=18650;Sebastian Larsson;Sunderland;23;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=28884;Morgan Amalfitano;West Ham United;21;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=21724;Angel Di Maria;Manchester United;3;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=38828;Victor Wanyama;Southampton;18;Midfielder;3;2014;481
/players/GetHistoryStats?player_id=4955;Samuel Eto'o;Everton;10;Forward;3;2014;481
